notation,hl,hu,bs,lr,chirals,invalid,valid,unique,novel
SELFIES,2,512,256,0.001,1900 ± 100,"520 ± 40*
(27%)*","1380 ± 80*
(73%)*","1380 ± 80*
(100%)*","1370 ± 80*
(100%)*"
SMILES,2,512,256,0.001,1800 ± 200,"320 ± 50
(17%)*","1500 ± 100
(83%)*","1500 ± 100
(100%)*","1500 ± 100
(100%)*"
fragSMILES,2,512,256,0.001,2000 ± 100,"290 ± 30
(15%)","1700 ± 100
(85%)","1700 ± 100
(100%)","1600 ± 100
(98%)"
t-SMILES,2,512,256,0.001,1900 ± 100,"1000 ± 100*
(53%)*","890 ± 60*
(47%)*","890 ± 60*
(100%)*","880 ± 60*
(99%)*"
notation,hl,hu,bs,lr,chirals,invalid,valid,unique,novel
SELFIES,2,512,256,0.001,1900 ± 100,"520 ± 40*
(27%)*","1380 ± 80*
(73%)*","1380 ± 80*
(100%)*","1370 ± 80*
(100%)*"
SMILES,2,512,256,0.001,1800 ± 200,"320 ± 50
(17%)*","1500 ± 100
(83%)*","1500 ± 100
(100%)*","1500 ± 100
(100%)*"
fragSMILES,2,512,256,0.001,2000 ± 100,"290 ± 30
(15%)","1700 ± 100
(85%)","1700 ± 100
(100%)","1600 ± 100
(98%)"
t-SMILES,2,512,256,0.001,1900 ± 100,"1000 ± 100*
(53%)*","890 ± 60*
(47%)*","890 ± 60*
(100%)*","880 ± 60*
(99%)*"
notation,hl,hu,bs,lr,chirals,invalid,valid,unique,novel
SELFIES,2,512,256,0.001,1900 ± 100,"520 ± 40*
(27%)*","1380 ± 80*
(73%)*","1380 ± 80*
(100%)*","1370 ± 80*
(100%)*"
SMILES,2,512,256,0.001,1800 ± 200,"320 ± 50
(17%)*","1500 ± 100
(83%)*","1500 ± 100
(100%)*","1500 ± 100
(100%)*"
fragSMILES,2,512,256,0.001,2000 ± 100,"290 ± 30
(15%)","1700 ± 100
(85%)","1700 ± 100
(100%)","1600 ± 100
(98%)"
t-SMILES,2,512,256,0.001,1900 ± 100,"1000 ± 100*
(53%)*","890 ± 60*
(47%)*","890 ± 60*
(100%)*","880 ± 60*
(99%)*"
