dataset,aug,notation,hl,hu,es,lr,bs,amount,epoch,T,total,unique,novel,unique%,novel%
grisoni,5.0,SELFIES,2,256,,0.001,512,6000,3,1.0,5960.0 ± 5.0,5570.0 ± 40.0,5290.0 ± 30.0,0.934 ± 0.006,0.95 ± 0.002
grisoni,5.0,SELFIES,2,512,,0.001,256,6000,3,1.0,5978.0 ± 6.0,5620.0 ± 40.0,5240.0 ± 60.0,0.941 ± 0.006,0.931 ± 0.004
grisoni,5.0,SELFIES,2,512,,0.001,512,6000,3,1.0,5977.0 ± 5.0,5620.0 ± 30.0,5240.0 ± 50.0,0.94 ± 0.005,0.933 ± 0.004
grisoni,5.0,SELFIES,3,256,,0.001,256,6000,3,1.0,5971.0 ± 9.0,5570.0 ± 80.0,5250.0 ± 90.0,0.93 ± 0.01,0.943 ± 0.003
grisoni,5.0,SMILES,2,256,,0.001,512,6000,3,1.0,5984.0 ± 6.0,5700.0 ± 70.0,5280.0 ± 90.0,0.95 ± 0.01,0.928 ± 0.005
grisoni,5.0,SMILES,2,512,,0.001,256,6000,3,1.0,5976.0 ± 5.0,5610.0 ± 70.0,5000.0 ± 100.0,0.94 ± 0.01,0.9 ± 0.01
grisoni,5.0,SMILES,2,512,,0.001,512,6000,3,1.0,5974.0 ± 8.0,5600.0 ± 50.0,5050.0 ± 90.0,0.938 ± 0.008,0.901 ± 0.008
grisoni,5.0,SMILES,3,256,,0.001,256,6000,3,1.0,5974.0 ± 8.0,5680.0 ± 60.0,5240.0 ± 90.0,0.951 ± 0.01,0.922 ± 0.006
grisoni,5.0,fragSMILES,2,256,300.0,0.001,512,6000,4,1.0,5980.0 ± 10.0,5500.0 ± 200.0,4700.0 ± 200.0,0.92 ± 0.03,0.86 ± 0.02
grisoni,5.0,fragSMILES,2,512,300.0,0.001,256,6000,4,1.0,5979.0 ± 6.0,5520.0 ± 80.0,4400.0 ± 100.0,0.92 ± 0.01,0.81 ± 0.02
grisoni,5.0,fragSMILES,2,512,300.0,0.001,512,6000,4,1.0,5978.0 ± 8.0,5500.0 ± 100.0,4600.0 ± 200.0,0.93 ± 0.02,0.83 ± 0.02
grisoni,5.0,fragSMILES,3,256,300.0,0.001,256,6000,4,1.0,5979.0 ± 3.0,5480.0 ± 50.0,4570.0 ± 70.0,0.917 ± 0.009,0.834 ± 0.007
grisoni,,SELFIES,2,256,,0.001,512,6000,10,1.0,5940.0 ± 10.0,5560.0 ± 40.0,5290.0 ± 50.0,0.936 ± 0.006,0.953 ± 0.004
grisoni,,SELFIES,2,512,,0.001,256,6000,6,1.0,5967.0 ± 3.0,5590.0 ± 60.0,5220.0 ± 90.0,0.94 ± 0.01,0.932 ± 0.006
grisoni,,SELFIES,2,512,,0.001,512,6000,10,1.0,5964.0 ± 6.0,5570.0 ± 40.0,5160.0 ± 70.0,0.934 ± 0.007,0.925 ± 0.006
grisoni,,SELFIES,3,256,,0.001,256,6000,6,1.0,5940.0 ± 20.0,5400.0 ± 200.0,5200.0 ± 200.0,0.92 ± 0.03,0.954 ± 0.008
grisoni,,SMILES,2,256,,0.001,512,6000,10,1.0,5980.0 ± 10.0,5620.0 ± 80.0,5100.0 ± 100.0,0.94 ± 0.01,0.91 ± 0.009
grisoni,,SMILES,2,512,,0.001,256,6000,6,1.0,5980.0 ± 20.0,5500.0 ± 200.0,4800.0 ± 300.0,0.93 ± 0.03,0.86 ± 0.02
grisoni,,SMILES,2,512,,0.001,512,6000,10,1.0,5976.0 ± 8.0,5490.0 ± 80.0,4600.0 ± 100.0,0.92 ± 0.01,0.838 ± 0.009
grisoni,,SMILES,3,256,,0.001,256,6000,6,1.0,5970.0 ± 30.0,5500.0 ± 200.0,5000.0 ± 300.0,0.92 ± 0.03,0.91 ± 0.02
grisoni,,fragSMILES,2,256,300.0,0.001,512,6000,16,1.0,5984.0 ± 5.0,5540.0 ± 80.0,4700.0 ± 100.0,0.93 ± 0.01,0.849 ± 0.009
grisoni,,fragSMILES,2,512,300.0,0.001,256,6000,8,1.0,5966.0 ± 9.0,5300.0 ± 80.0,4300.0 ± 200.0,0.89 ± 0.01,0.81 ± 0.02
grisoni,,fragSMILES,2,512,300.0,0.001,512,6000,16,1.0,5980.0 ± 8.0,5500.0 ± 50.0,4420.0 ± 60.0,0.92 ± 0.008,0.804 ± 0.005
grisoni,,fragSMILES,3,256,300.0,0.001,256,6000,8,1.0,5980.0 ± 10.0,5490.0 ± 60.0,4720.0 ± 80.0,0.918 ± 0.009,0.861 ± 0.007
